document_id,text,sentiment,confidence,topic_label,date
hmns,🥰,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😂,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,🥰,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😁,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😂😂😂,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😂,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😂,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😂,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😂,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😂,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😂😂😂,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,🤣🤣🤣,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,🥰,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,🥺🥺🥺,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,🥰🥰🥰,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,HMNS-ALPHA,positive,0.9727069139480591,wanginyaa - parfume - wanginya,2025-09-28
hmns,🤣🤣🤣,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,🥰,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😳,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😭😭😭,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,Untitled so goodddd,positive,0.9852906465530396,wanginyaa - parfume - wanginya,2025-09-28
hmns,😢,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,🙂🙂🙂,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😁😁😁,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,UNTITLED 🤝🤝🤝,positive,0.9740602970123291,wanginyaa - parfume - wanginya,2025-09-28
hmns,😁,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,bang top 3 parfume lokal yang bagus untuk di ruangan ber AC dan tahan lama,positive,0.9912603497505188,wanginyaa - parfume - wanginya,2025-09-28
hmns,😁,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😂,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,😳😳😳,positive,0.9867009520530701,teks - jejak - ,2025-09-28
hmns,hmns alpha bisa buat sekolah?,positive,0.9823493361473083,wanginyaa - parfume - wanginya,2025-09-28
hmns,ini splnya moderate ya bang?,positive,0.9882475733757019,wanginyaa - parfume - wanginya,2025-09-28
hmns,"Gw pake yg variant prestige aroma nya maskulin banget kek bapa2 buat gw yg umur 28, dan cewe gw say no 😭",positive,0.978933572769165,wanginyaa - parfume - wanginya,2025-09-28
hmns,"gw pernah sniff lgsg 3 parfum itu, tp ttp gatau gimana bau Wood nya sama yg lain2, pdhl gw udah coba di kulit sama kertas yg disediain",positive,0.3744364380836487,wanginyaa - parfume - wanginya,2025-09-28
