document_id,text,sentiment,confidence,topic_label,date
lain,Sahroni:CUKUUP,positive,0.9853392839431763,sahroni - cukuup - cukuupp,2025-09-28
lain,ih mirip 🤭🤭,positive,0.9663094878196716,sahroni - cukuup - cukuupp,2025-09-28
lain,"dihina satu keluarga ❌
dihina satu Indonesia ✅😭😭😭",positive,0.402005672454834,negara - dihina - indonesia,2025-09-28
lain,Sahroni bilek:,positive,0.9842103719711304,sahroni - cukuup - cukuupp,2025-09-28
lain,UDAHH CUKUUPP,positive,0.9760969877243042,sahroni - cukuup - cukuupp,2025-09-28
lain,dibully seluruh negara anjir😭,positive,0.9760329723358154,negara - dihina - indonesia,2025-09-28
lain,istrinya:,positive,0.9619956612586975,sahroni - cukuup - cukuupp,2025-09-28
lain,makaroni pas masi gadis,positive,0.9872980117797852,sahroni - cukuup - cukuupp,2025-09-28
lain,ini musim sahroni gak kelar2 bjir😂,negative,0.5446109771728516,sahroni - cukuup - cukuupp,2025-09-28
lain,Du bully satu negara wa😭,positive,0.9079594016075134,negara - dihina - indonesia,2025-09-28
lain,cuma diindo yg berani membully mereka 😭,positive,0.9392904043197632,negara - dihina - indonesia,2025-09-28
lain,dibully sama negara sendiri😭😭,positive,0.8582303524017334,negara - dihina - indonesia,2025-09-28
lain,upsss kepencet😏🤭,positive,0.9805919528007507,sahroni - cukuup - cukuupp,2025-09-28
lain,DAHLAH CAPE,negative,0.5025782585144043,sahroni - cukuup - cukuupp,2025-09-28
lain,sampe aib2nya di jarah anjir😭,positive,0.5155984163284302,sahroni - cukuup - cukuupp,2025-09-28
lain,punya istri Sahroni😋,positive,0.9630118012428284,sahroni - cukuup - cukuupp,2025-09-28
lain,Iya iya aku senyum 🙏🏻,positive,0.9862627983093262,sahroni - cukuup - cukuupp,2025-09-28
lain,lagi centil centill nyaa🥰🤭,positive,0.9760146737098694,sahroni - cukuup - cukuupp,2025-09-28
lain,dia lagi...,positive,0.9511069059371948,sahroni - cukuup - cukuupp,2025-09-28
